#1|lemma	count
ϣⲓⲡⲉ	125
ⲙⲁⲁⲩ	125
ⲟⲩⲱⲧ	125
ϣⲏⲛ	124
ⲧⲱⲣⲉ	124
ⲃⲟⲗ	122
ϫⲱϩⲙ	121
ⲡⲱϩⲧ	121
ⲙⲁⲥⲉ	121
ⲟⲩⲱ	120
ϣⲙϣⲉ	120
ⲧⲁⲗⲟ	120
ⲁϥ	119
ⲧⲱϣ	119
ϩⲟⲩⲟ	118
ⲗⲁⲥ	117
:	116
ⲟⲩⲱⲛ	116
ϩⲓⲧⲟⲩⲛ	116
ⲃⲱ	115
ϭⲙϭⲟⲙ	115
ϣⲗⲏⲗ	114
ϫⲟ	113
ⲓⲱⲁⲃ	113
ⲡⲩⲗⲏ	113
ϩⲟⲉⲓⲧⲉ	113
ϣⲓ	112
ϩⲁϩ	112
ⲛⲕⲟⲧⲕ	111
ⲟⲩⲱϣⲃ	111
ⲟⲩⲛⲁⲙ	111
ⲣⲱⲕϩ	111
ϣⲟ	110
ⲥⲁⲣⲝ	110
ⲕⲣⲓⲛⲉ	109
ⲥⲁϩⲟⲩ	109
ϣⲟⲩⲟ	109
ⲕⲓⲙ	108
ⲙⲛⲧⲣⲉ	107
ⲓⲱⲛⲁⲑⲁⲛ	107
ⲣⲛⲟⲃⲉ	106
ⲧⲱⲱⲃⲉ	106
ⲛϣⲟⲧ	106
ⲧⲱⲛ	105
ⲙⲁⲉⲓⲛ	104
ⲧⲁⲉⲓⲟ	104
ⲧⲟⲩϫⲟ	104
ⲛⲟϭⲛⲉϭ	104
ϣⲱⲱⲧ	104
ⲧⲉⲗⲏⲗ	103
ϭⲟⲛⲥ	103
ⲥⲟⲫⲟⲥ	102
ⲣⲓⲙⲉ	102
ⲙⲡⲣⲧⲣⲉ	101
ⲡⲁⲣⲉⲙⲃⲟⲗⲏ	101
ϣⲙⲙⲟ	101
ⲁⲅⲅⲉⲗⲟⲥ	100
ⲉⲛⲉ	100
ⲥⲟⲃⲧⲉ	99
ⲕⲁⲕⲉ	99
ⲡⲁⲧⲁⲥⲥⲉⲓ	98
ⲟⲩⲱϣⲧ	97
ⲡⲣⲟⲫⲏⲧⲏⲥ	97
ϣⲱⲣⲡ	97
ⲥⲕⲏⲛⲏ	96
ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ	96
ϣⲱϫⲡ	96
ⲃⲁⲃⲩⲗⲱⲛ	95
ⲙⲕⲁϩ	94
ⲛϣⲏⲣⲉ	94
ⲉⲗⲟⲟⲗⲉ	93
ⲥⲱϣ	93
ⲣⲁϣⲉ	93
ⲛⲁϩⲧⲉ	91
ⲕⲗⲏⲣⲟⲥ	91
ⲯⲁⲗⲙⲟⲥ	90
ⲣⲙⲛⲕⲏⲙⲉ	90
ⲡⲱϩ	90
ⲧⲥⲁⲃⲟ	89
ϣⲟⲙⲛⲧ	89
ⲑⲗⲓⲯⲓⲥ	87
ⲥⲩⲛⲁⲅⲱⲅⲏ	87
ⲣⲱϩⲧ	87
ⲛⲁϩⲣⲛ	85
ⲥⲟⲟϩⲉ	85
ϫⲡⲓⲟ	85
ϫⲱⲱⲙⲉ	85
ⲉⲣⲏⲙⲟⲥ	84
ⲙⲁⲩⲁⲁ	84
ⲡⲉⲧⲣⲁ	84
ⲧⲱⲱϭⲉ	84
ⲉⲃⲟⲧ	84
ⲉⲣϣⲁⲛ_ⲛⲧⲟⲟⲩ	83
ⲙⲡⲁⲧⲉ	82
ⲟⲩⲱϣϥ	82
ϭⲉⲡⲏ	82
ⲇⲓⲕⲁⲓⲱⲙⲁ	82
ϭⲱⲗⲡ	81
ϫⲣⲟ	80
ⲱⲣⲕ	80
ⲃⲟⲧⲉ	80
ⲥⲁⲧⲉ	80
ⲕⲗⲟⲟⲗⲉ	79
ϩⲁⲏ	79
ⲥⲱⲙⲁ	79
ϫⲓⲟⲟⲣ	79
ⲕⲁⲣⲡⲟⲥ	78
ⲧⲛⲛⲟⲟⲩ	77
ϫⲱⲙ	77
ⲥⲟⲡⲥ	77
ⲗⲟ	76
ⲟⲩⲃⲉ	76
ⲙⲛⲧⲣⲙⲛϩⲏⲧ	75
ϩⲱⲃⲥ	75
ϩⲱⲧⲃ	75
ⲁϩⲟ	74
ⲉⲣⲏⲩ	74
ⲓⲉⲣⲟ	74
ⲕⲙⲧⲟ	74
ϩⲉⲗⲡⲓⲥ	74
ⲕⲣⲟϥ	73
ⲙⲟⲩⲣ	73
ϭⲉⲣⲱⲃ	73
ⲕⲁⲕⲓⲁ	72
ⲇⲓⲁⲯⲁⲗⲙⲁ	72
ⲡⲱϣ	72
ⲣⲓⲕⲉ	72
ⲥⲱⲃⲉ	72
ⲁⲙⲛⲧⲉ	71
ⲙⲓⲥⲉ	71
ⲡⲉⲧϣⲟⲩⲉⲓⲧ	70
ⲁⲃⲣⲁϩⲁⲙ	70
ϩⲁⲧⲛ	70
ⲥⲙⲟⲧ	70
ⲙⲛⲧⲣⲙⲙⲁⲟ	70
ⲧⲁⲗϭⲟ	69
ⲙⲁⲛⲁⲥⲥⲏ	69
ⲉⲧⲓ	69
ⲙⲟⲩⲓ	69
ⲡⲱⲣϫ	69
ⲧⲁⲣⲉ	69
ϩⲓⲉⲣⲉⲩⲥ	69
ⲅⲁⲗⲁⲁⲇ	68
ⲑⲗⲓⲃⲉ	68
ⲥⲟⲟⲧⲉ	68
ⲛⲉϩ	68
ⲁⲣⲭⲏ	68
ⲧⲁϣⲟ	68
ϩⲁⲉⲓⲃⲉⲥ	68
ⲙⲉⲣⲓⲥ	67
ⲱⲧⲡ	67
ⲁⲃⲏⲥⲁⲗⲱⲙ	67
ⲁϣⲁⲉⲓ	67
ⲙⲟⲟⲛⲉ	66
ⲉⲫⲣⲁⲓⲙ	66
ⲉⲣⲉ_ⲁⲛⲟⲕ	66
ϣⲓⲧⲉ	66
ⲣϩⲱⲃ	66
ⲃⲣⲣⲉ	66
ⲙⲱⲁⲃ	66
ⲧⲟⲧⲉ	66
ⲥⲉⲉⲡⲉ	65
ⲑⲣⲟⲛⲟⲥ	65
ⲙⲛⲧⲣⲣⲟ	65
ϩⲗⲗⲟ	65
ⲡⲉⲧⲛⲁⲛⲟⲩϥ	65
ϩⲁⲗⲏⲧ	65
ⲃⲉⲛⲓⲁⲙⲓⲛ	65
ⲓⲱⲥⲏⲫ	64
ⲧⲟⲩⲛⲟⲥ	64
ⲏⲡⲉ	64
ⲕⲣⲟ	64
ϣⲟⲩϣⲟⲩ	64
ⲙⲏⲡⲟⲧⲉ	63
ϩⲕⲟ	63
ⲥⲱⲕ	63
ⲡⲟⲛⲏⲣⲟⲛ	62
ⲡⲱⲱⲛⲉ	62
ⲣⲟⲩϩⲉ	62
ⲕⲉⲉⲥ	62
ⲅⲉⲛⲉⲁ	61
ⲟⲩⲛⲟⲩ	61
ⲟⲩⲛⲧⲉ	61
ⲧⲱⲙⲛⲧ	61
ⲓⲉⲣⲉⲙⲓⲁⲥ	60
ϣⲱⲗ	60
ⲧⲃⲁ	60
ⲟⲩⲉϩⲥⲁϩⲛⲉ	60
ⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ	59
ⲕⲁ	59
ⲥⲉⲓ	59
ⲙⲛⲧⲉ	59
ϭⲟⲉⲓⲗⲉ	59
ϥⲧⲟⲟⲩ	59
ϩⲁⲗⲁⲥⲥⲁ	59
ⲉⲣⲉ_ⲛⲧⲟⲥ	58
ⲥⲉ	58
ⲉⲣⲏⲧ	58
ⲥⲟⲃⲧ	58
ⲉⲣϣⲁⲛ_ⲁⲛⲟⲕ	57
ⲱϩⲥ	57
ⲉⲓⲁ	57
ⲥⲱⲧ	57
ⲟⲩⲧⲉ	57
ⲭⲱⲣⲁ	57
ϫⲓϣⲕⲁⲕ	57
ϩⲁⲣⲙⲁ	57
ⲣⲁⲥⲧⲉ	56
ⲁⲓ	56
ⲡⲁϣⲉ	56
ⲉⲣϣⲁⲛ_ⲛⲧⲱⲧⲛ	56
ϣⲟⲣϣⲣ	56
ϩⲓⲟⲩⲉ	56
ⲁⲙⲟⲣⲣⲁⲓⲟⲥ	56
ⲁⲙⲙⲱⲛ	55
ⲙⲟⲩⲕϩ	55
ⲉⲣⲉ_ⲁⲛⲟⲛ	55
ⲧ	55
ϫⲱϩ	55
ⲡⲏⲅⲏ	55
ⲇⲱⲣⲟⲛ	54
ⲙⲟⲩϣⲧ	54
ⲧⲏⲩ	54
ⲧⲱⲕ	54
ϣⲓⲃⲉ	54
ⲁϣⲁⲓ	54
